,Title,"Band Gap, HSE06","Dielectric Constant, Electronic",EBE
79,C2H7N2GeF3,5.48,2.82,-3.2428024660321736e+30
81,C2H7N2GeF3,5.86,2.84,-3.21996582894744e+30
83,C2H7N2GeF3,5.26,2.85,-3.208667703231835e+30
85,C2H7N2GeF3,5.16,2.86,-3.197448585388367e+30
87,C2H7N2GeF3,5.15,2.79,-3.277671309752949e+30
89,CH6NGeF3,4.93,2.91,-3.1425096062579823e+30
91,CH6NGeF3,4.72,2.89,-3.164257077581567e+30
93,CH6NGeF3,5.75,2.76,-3.3132981718154816e+30
95,CH6NGeF3,5.24,2.77,-3.3013368065742704e+30
97,CH6NGeF3,5.43,2.82,-3.2428024660321736e+30
99,CH6NGeF3,4.92,2.68,-3.412202594854749e+30
101,CH6N3GeF3,5.85,2.89,-3.164257077581567e+30
103,CH6N3GeF3,5.83,2.91,-3.1425096062579823e+30
105,CH6N3GeF3,5.5,2.97,-3.0790245637073154e+30
107,H4NOGe3F,5.41,3.06,-2.9884650177159244e+30
109,H4NOGe3F,5.45,2.84,-3.21996582894744e+30
111,H4NOGe3F,5.62,2.94,-3.1104431817043297e+30
113,H4NOGe3F,6.06,2.92,-3.1317475870584686e+30
115,H4NOGe3F,5.6,2.93,-3.121059028740863e+30
117,H4NOGe3F,5.92,2.94,-3.1104431817043297e+30
119,H4NOGe3F,5.77,2.89,-3.164257077581567e+30
121,CH5N2GeF3,5.29,2.94,-3.1104431817043297e+30
123,CH5N2GeF3,4.53,2.92,-3.1317475870584686e+30
125,C4H12NGeF3,6.37,2.58,-3.544458509384003e+30
127,C4H12NGeF3,6.03,2.59,-3.530773341394104e+30
129,H5N2GeF3,5.55,3.03,-3.0180537802675674e+30
131,H5N2GeF3,5.8,2.88,-3.1752440813231694e+30
133,H5N2GeF3,5.4,3.02,-3.028047335831367e+30
135,H5N2GeF3,5.72,2.9,-3.1533458462795615e+30
137,H5N2GeF3,5.36,2.96,-3.0894266737198407e+30
139,H5N2GeF3,5.86,2.89,-3.164257077581567e+30
141,H5N2GeF3,5.3,2.97,-3.0790245637073154e+30
143,H5N2GeF3,5.58,2.87,-3.1863076495507764e+30
145,H4NGeF3,5.87,2.87,-3.1863076495507764e+30
147,H4NGeF3,4.92,2.97,-3.0790245637073154e+30
149,C3H10NGeF3,6.02,2.65,-3.450831303475747e+30
151,C3H10NGeF3,5.29,2.67,-3.424982379854206e+30
153,C3H10NGeF3,6.38,2.62,-3.4903446390117284e+30
155,C3H10NGeF3,6.16,2.58,-3.544458509384003e+30
157,C3H10NGeF3,6.63,2.63,-3.477073366620049e+30
159,C3H10NGeF3,6.31,2.59,-3.530773341394104e+30
161,C3H10NGeF3,6.04,2.59,-3.530773341394104e+30
163,C3H8NGeF3,5.46,2.74,-3.3374828300039156e+30
165,C3H8NGeF3,5.87,2.82,-3.2428024660321736e+30
167,C3H8NGeF3,5.57,2.76,-3.3132981718154816e+30
169,C3H8NGeF3,5.49,2.84,-3.21996582894744e+30
171,C3H8NGeF3,5.24,2.71,-3.374429134395103e+30
173,C3H8NGeF3,5.18,2.74,-3.3374828300039156e+30
175,C3H8NGeF3,5.55,2.63,-3.477073366620049e+30
177,C3H8NGeF3,5.52,2.78,-3.289461494320406e+30
179,C3H8NGeF3,5.65,2.78,-3.289461494320406e+30
181,C3H8NGeF3,5.63,2.78,-3.289461494320406e+30
183,C3H8NGeF3,5.49,2.76,-3.3132981718154816e+30
185,C3H8NGeF3,5.69,2.71,-3.374429134395103e+30
187,C3H8NGeF3,6.1,2.66,-3.43785825346268e+30
189,C3H5N2GeF3,5.04,2.99,-3.058429081675829e+30
191,C3H5N2GeF3,5.23,2.99,-3.058429081675829e+30
193,C3H5N2GeF3,5.14,2.86,-3.197448585388367e+30
195,C3H5N2GeF3,5.13,2.95,-3.099899306512111e+30
197,C3H5N2GeF3,4.83,2.94,-3.1104431817043297e+30
199,C3H5N2GeF3,4.52,2.98,-3.068692266513667e+30
201,C2H8NGeCl3,3.69,3.23,-2.8311773852045596e+30
203,C2H8NGeCl3,3.56,3.31,-2.762750137223785e+30
205,C2H8NGeCl3,4.72,3.06,-2.9884650177159244e+30
207,C2H8NGeCl3,4.67,3.12,-2.930994536606003e+30
209,C2H8NGeCl3,4.5,3.14,-2.9123257815957733e+30
211,C2H8NGeCl3,4.67,2.93,-3.121059028740863e+30
213,C2H8NGeCl3,3.69,3.43,-2.6660941557465676e+30
215,C2H8NGeCl3,4.32,3.09,-2.959450794242954e+30
217,C2H8NGeCl3,3.14,3.26,-2.8051236055861133e+30
219,C2H8NGeCl3,4.54,2.92,-3.1317475870584686e+30
221,C3H10NGeCl3,4.39,2.91,-3.1425096062579823e+30
223,C3H10NGeCl3,4.24,2.92,-3.1317475870584686e+30
225,C3H10NGeCl3,3.86,2.97,-3.0790245637073154e+30
227,C3H10NGeCl3,3.98,3.05,-2.998263263675649e+30
229,C3H10NGeCl3,4.19,3.11,-2.940418956337855e+30
231,C3H10NGeCl3,3.7,3.17,-2.884764338867738e+30
233,C3H10NGeCl3,4.72,2.87,-3.1863076495507764e+30
235,C3H10NGeCl3,4.38,2.95,-3.099899306512111e+30
237,C3H10NGeCl3,4.24,3.03,-3.0180537802675674e+30
239,C3H10NGeCl3,4.83,2.84,-3.21996582894744e+30
241,C3H10NGeCl3,3.99,3.04,-3.0081259717798453e+30
243,C4H12NGeCl3,4.3,2.87,-3.1863076495507764e+30
245,C4H12NGeCl3,4.42,2.86,-3.197448585388367e+30
247,C4H12NGeCl3,4.61,2.71,-3.374429134395103e+30
249,C3H10NGeCl3,4.47,3.02,-3.028047335831367e+30
251,C3H10NGeCl3,4.18,3.02,-3.028047335831367e+30
253,C3H10NGeCl3,4.04,3.08,-2.969059400717769e+30
255,C3H10NGeCl3,4.74,2.87,-3.1863076495507764e+30
257,C3H10NGeCl3,4.78,2.74,-3.3374828300039156e+30
259,C3H10NGeCl3,5.03,2.93,-3.121059028740863e+30
261,C3H10NGeCl3,4.65,2.97,-3.0790245637073154e+30
263,C3H10NGeCl3,4.83,2.98,-3.068692266513667e+30
265,C2H8NGeCl3,3.77,3.14,-2.9123257815957733e+30
267,C2H8NGeCl3,3.8,3.16,-2.8938933399401036e+30
269,C2H8NGeCl3,3.8,3.13,-2.92163033680854e+30
271,C2H8NGeCl3,4.25,3.16,-2.8938933399401036e+30
273,C2H8NGeCl3,4.21,3.24,-2.8224391833983726e+30
275,C2H8NGeCl3,4.69,3.07,-2.978730603977436e+30
277,C2H8NGeCl3,4.72,3.07,-2.978730603977436e+30
279,C2H7N2GeCl3,3.94,3.18,-2.8756927528964554e+30
281,C2H7N2GeCl3,3.76,3.24,-2.8224391833983726e+30
283,C2H7N2GeCl3,4.65,3.23,-2.8311773852045596e+30
285,C2H7N2GeCl3,4.57,3.23,-2.8311773852045596e+30
287,C2H7N2GeCl3,4.86,3.09,-2.959450794242954e+30
289,CH6NGeCl3,2.81,3.76,-2.43210184952413e+30
291,CH6NGeCl3,4.41,3.25,-2.8137547551417626e+30
293,CH6NGeCl3,4.46,3.2,-2.857719673190853e+30
295,CH6NGeCl3,4.13,3.46,-2.6429777324308463e+30
297,CH6NGeCl3,3.86,3.31,-2.762750137223785e+30
299,CH6N3GeCl3,4.04,3.32,-2.754428600665882e+30
301,CH6N3GeCl3,3.64,3.39,-2.6975524938674714e+30
303,CH6N3GeCl3,4.52,3.35,-2.7297620758837996e+30
305,H4NOGe3Cl,2.56,4.14,-2.2088654478769877e+30
307,H4NOGe3Cl,3.81,3.66,-2.4985527197297072e+30
309,H4NOGe3Cl,3.9,3.63,-2.5192019157605314e+30
311,H4NOGe3Cl,4.24,3.71,-2.4648795024826765e+30
313,H4NOGe3Cl,4.41,3.64,-2.5122810313765735e+30
315,H4NOGe3Cl,4.24,3.69,-2.4782392829839371e+30
317,H4NOGe3Cl,4.4,3.64,-2.5122810313765735e+30
319,CH5N2GeCl3,3.45,3.51,-2.6053284769831137e+30
321,CH5N2GeCl3,3.68,3.53,-2.590567409124852e+30
323,CH5N2GeCl3,4.41,3.18,-2.8756927528964554e+30
325,C4H12NGeCl3,4.49,2.88,-3.1752440813231694e+30
327,C4H12NGeCl3,4.61,2.87,-3.1863076495507764e+30
329,C4H12NGeCl3,4.54,2.79,-3.277671309752949e+30
331,H5N2GeCl3,2.49,4.04,-2.2635403352006755e+30
333,H5N2GeCl3,4.36,3.64,-2.5122810313765735e+30
335,H5N2GeCl3,2.68,4.04,-2.2635403352006755e+30
337,H5N2GeCl3,4.36,3.64,-2.5122810313765735e+30
339,H5N2GeCl3,4.57,3.46,-2.6429777324308463e+30
341,H5N2GeCl3,4.55,3.43,-2.6660941557465676e+30
343,H5N2GeCl3,4.39,3.63,-2.5192019157605314e+30
345,H5N2GeCl3,4.41,3.48,-2.6277882052329676e+30
347,H5N2GeCl3,3.95,3.7,-2.4715413389758728e+30
349,H5N2GeCl3,4.36,3.62,-2.5261610370747867e+30
351,H4NGeCl3,4.55,3.41,-2.681731071616049e+30
353,H4NGeCl3,2.9,3.75,-2.438587454456194e+30
355,C3H10NGeCl3,3.9,2.98,-3.068692266513667e+30
357,C3H10NGeCl3,3.81,3.0,-3.0482343180702426e+30
359,C3H10NGeCl3,4.43,2.96,-3.0894266737198407e+30
361,C3H10NGeCl3,4.7,2.92,-3.1317475870584686e+30
363,C3H10NGeCl3,4.34,2.93,-3.121059028740863e+30
365,C3H10NGeCl3,4.7,2.83,-3.2313438000744625e+30
367,C3H10NGeCl3,4.9,2.83,-3.2313438000744625e+30
369,C3H10NGeCl3,4.87,2.9,-3.1533458462795615e+30
371,C3H8NGeCl3,3.62,3.23,-2.8311773852045596e+30
373,C3H8NGeCl3,3.56,3.2,-2.857719673190853e+30
375,C3H8NGeCl3,3.77,3.2,-2.857719673190853e+30
377,C3H8NGeCl3,3.66,3.28,-2.7880191933569295e+30
379,C3H8NGeCl3,4.32,3.0,-3.0482343180702426e+30
381,C3H8NGeCl3,4.01,3.06,-2.9884650177159244e+30
383,C3H8NGeCl3,4.16,3.07,-2.978730603977436e+30
385,C3H8NGeCl3,4.81,3.12,-2.930994536606003e+30
387,C3H8NGeCl3,4.72,3.11,-2.940418956337855e+30
389,C3H8NGeCl3,4.8,3.11,-2.940418956337855e+30
391,C3H8NGeCl3,4.67,3.17,-2.884764338867738e+30
393,C3H8NGeCl3,4.15,3.28,-2.7880191933569295e+30
395,C3H8NGeCl3,4.42,2.91,-3.1425096062579823e+30
397,C3H8NGeCl3,4.48,2.89,-3.164257077581567e+30
399,C3H5N2GeCl3,3.58,3.21,-2.848817119691816e+30
401,C3H5N2GeCl3,3.9,3.28,-2.7880191933569295e+30
403,C3H5N2GeCl3,4.18,3.18,-2.8756927528964554e+30
405,C3H5N2GeCl3,4.44,3.38,-2.705533418405541e+30
407,C3H5N2GeCl3,4.42,3.39,-2.6975524938674714e+30
409,C3H5N2GeCl3,4.56,3.39,-2.6975524938674714e+30
411,C2H8NGeBr3,2.84,3.82,-2.3939012969138038e+30
413,C2H8NGeBr3,2.9,3.83,-2.3876509018826966e+30
415,C2H8NGeBr3,3.95,3.55,-2.575972663157952e+30
417,C2H8NGeBr3,3.97,3.61,-2.5331587130777644e+30
419,C2H8NGeBr3,3.69,3.72,-2.4582534823147118e+30
421,C2H8NGeBr3,3.94,3.38,-2.705533418405541e+30
423,C2H8NGeBr3,3.3,3.89,-2.3508233815451744e+30
425,C2H8NGeBr3,3.67,3.57,-2.561541443756507e+30
427,C2H8NGeBr3,3.89,3.56,-2.568736784890654e+30
429,C2H8NGeBr3,2.71,3.72,-2.4582534823147118e+30
431,C2H8NGeBr3,3.99,3.37,-2.7135617074809284e+30
433,C3H10NGeBr3,3.59,3.3,-2.7711221073365846e+30
435,C3H10NGeBr3,3.32,3.35,-2.7297620758837996e+30
437,C3H10NGeBr3,3.19,3.37,-2.7135617074809284e+30
439,C3H10NGeBr3,3.34,3.55,-2.575972663157952e+30
441,C3H10NGeBr3,3.22,3.45,-2.650638537452385e+30
443,C3H10NGeBr3,3.2,3.63,-2.5192019157605314e+30
445,C3H10NGeBr3,4.05,3.27,-2.796545245936003e+30
447,C3H10NGeBr3,3.96,3.18,-2.8756927528964554e+30
449,C3H10NGeBr3,4.22,3.14,-2.9123257815957733e+30
451,C3H10NGeBr3,3.38,3.45,-2.650638537452385e+30
453,C3H10NGeBr3,4.26,3.14,-2.9123257815957733e+30
455,C3H10NGeBr3,3.86,3.2,-2.857719673190853e+30
457,C3H10NGeBr3,3.28,3.48,-2.6277882052329676e+30
459,C4H12NGeBr3,3.57,3.2,-2.857719673190853e+30
461,C4H12NGeBr3,3.66,3.21,-2.848817119691816e+30
463,C4H12NGeBr3,4.03,2.98,-3.068692266513667e+30
465,C3H10NGeBr3,3.68,3.42,-2.6738897526931954e+30
467,C3H10NGeBr3,3.39,3.44,-2.6583438820380023e+30
469,C3H10NGeBr3,3.13,3.47,-2.635361081905109e+30
471,C3H10NGeBr3,3.13,3.47,-2.635361081905109e+30
473,C3H10NGeBr3,3.9,3.17,-2.884764338867738e+30
475,C3H10NGeBr3,4.07,3.21,-2.848817119691816e+30
477,C3H10NGeBr3,4.2,3.2,-2.857719673190853e+30
479,C3H10NGeBr3,3.99,3.36,-2.7216377839912886e+30
481,C3H10NGeBr3,4.16,3.38,-2.705533418405541e+30
483,C2H8NGeBr3,3.14,3.64,-2.5122810313765735e+30
485,C2H8NGeBr3,3.17,3.65,-2.5053980696467748e+30
487,C2H8NGeBr3,3.17,3.63,-2.5192019157605314e+30
489,C2H8NGeBr3,3,3.72,-2.4582534823147118e+30
491,C2H8NGeBr3,3.59,3.69,-2.4782392829839371e+30
493,C2H8NGeBr3,3.68,3.69,-2.4782392829839371e+30
495,C2H8NGeBr3,3.94,3.57,-2.561541443756507e+30
497,C2H8NGeBr3,4.01,3.54,-2.583249422093426e+30
499,C2H8NGeBr3,4.06,3.54,-2.583249422093426e+30
501,C2H7N2GeBr3,3.12,3.63,-2.5192019157605314e+30
503,C2H7N2GeBr3,3.19,3.61,-2.5331587130777644e+30
505,C2H7N2GeBr3,2.99,3.72,-2.4582534823147118e+30
507,C2H7N2GeBr3,3.98,3.67,-2.4917446741718608e+30
509,C2H7N2GeBr3,3.81,3.71,-2.4648795024826765e+30
511,C2H7N2GeBr3,4.32,3.39,-2.6975524938674714e+30
513,CH6NGeBr3,2.3,4.38,-2.087831724705646e+30
515,CH6NGeBr3,2.38,4.33,-2.1119406360763806e+30
517,CH6NGeBr3,3.71,3.86,-2.3690940295882715e+30
519,CH6NGeBr3,3.76,3.76,-2.43210184952413e+30
521,CH6NGeBr3,3.37,4.09,-2.2358686929610586e+30
523,CH6NGeBr3,3.36,3.97,-2.3034516257457756e+30
525,CH6N3GeBr3,3.1,3.83,-2.3876509018826966e+30
527,CH6N3GeBr3,2.88,3.95,-2.315114671952083e+30
529,CH6N3GeBr3,3.74,3.86,-2.3690940295882715e+30
531,H4NOGe3Br,2.25,4.8,-1.905146448793902e+30
533,H4NOGe3Br,3.16,4.51,-2.0276503224414033e+30
535,H4NOGe3Br,3.17,4.51,-2.0276503224414033e+30
537,H4NOGe3Br,3.01,4.6,-1.9879789030892892e+30
539,H4NOGe3Br,3.56,4.3,-2.126675105630402e+30
541,H4NOGe3Br,3.59,4.21,-2.1721384689336648e+30
543,H4NOGe3Br,3.55,4.35,-2.1022305641863745e+30
545,CH5N2GeBr3,2.58,4.17,-2.1929743295469374e+30
547,CH5N2GeBr3,2.64,4.15,-2.2035428805327055e+30
549,CH5N2GeBr3,3.99,3.58,-2.5543863000588626e+30
551,C4H12NGeBr3,3.47,3.26,-2.8051236055861133e+30
553,C4H12NGeBr3,3.69,3.21,-2.848817119691816e+30
555,C4H12NGeBr3,4.02,3.06,-2.9884650177159244e+30
557,H5N2GeBr3,2.14,4.66,-1.962382608199727e+30
559,H5N2GeBr3,2.36,4.77,-1.9171285019309707e+30
561,H5N2GeBr3,3.56,4.25,-2.1516948127554658e+30
563,H5N2GeBr3,3.75,4.13,-2.2142137903657937e+30
565,H5N2GeBr3,3.87,4.0,-2.2861757385526823e+30
567,H5N2GeBr3,3.36,4.32,-2.1168293875487796e+30
569,H5N2GeBr3,3.37,4.35,-2.1022305641863745e+30
571,H5N2GeBr3,3.81,4.06,-2.2523898901996872e+30
573,H5N2GeBr3,3.17,4.41,-2.0736287878028864e+30
575,H5N2GeBr3,3.39,4.3,-2.126675105630402e+30
577,H5N2GeBr3,3.33,4.42,-2.0689373199571786e+30
579,H4NGeBr3,3.74,4.0,-2.2861757385526823e+30
581,H4NGeBr3,2.76,4.16,-2.198245902454502e+30
583,H4NGeBr3,3.71,4.04,-2.2635403352006755e+30
585,H4NGeBr3,3.71,4.03,-2.2691570605981957e+30
587,C3H10NGeBr3,3.21,3.41,-2.681731071616049e+30
589,C3H10NGeBr3,3.38,3.39,-2.6975524938674714e+30
591,C3H10NGeBr3,3.87,3.28,-2.7880191933569295e+30
593,C3H10NGeBr3,3.89,3.27,-2.796545245936003e+30
595,C3H10NGeBr3,3.48,3.32,-2.754428600665882e+30
597,C3H10NGeBr3,4.06,3.19,-2.8666780420723287e+30
599,C3H10NGeBr3,4.2,3.17,-2.884764338867738e+30
601,C3H10NGeBr3,3.84,3.4,-2.689618515944332e+30
603,C3H10NGeBr3,4.19,3.27,-2.796545245936003e+30
605,C3H8NGeBr3,2.82,3.79,-2.412850383696762e+30
607,C3H8NGeBr3,2.83,3.81,-2.4001845024175143e+30
609,C3H8NGeBr3,2.96,3.75,-2.438587454456194e+30
611,C3H8NGeBr3,2.8,3.84,-2.3814330609923775e+30
613,C3H8NGeBr3,3.58,3.43,-2.6660941557465676e+30
615,C3H8NGeBr3,3.51,3.55,-2.575972663157952e+30
617,C3H8NGeBr3,3.6,3.59,-2.5472710178859967e+30
619,C3H8NGeBr3,4.03,3.75,-2.438587454456194e+30
621,C3H8NGeBr3,4.1,3.63,-2.5192019157605314e+30
623,C3H8NGeBr3,4.1,3.64,-2.5122810313765735e+30
625,C3H8NGeBr3,3.97,3.61,-2.5331587130777644e+30
627,C3H8NGeBr3,4.08,3.36,-2.7216377839912886e+30
629,C3H8NGeBr3,3.76,3.81,-2.4001845024175143e+30
631,C3H8NGeBr3,3.62,3.77,-2.4256506509842782e+30
633,C3H8NGeBr3,3.8,3.36,-2.7216377839912886e+30
635,C3H8NGeBr3,3.89,3.34,-2.737935016230757e+30
637,C3H5N2GeBr3,2.88,3.67,-2.4917446741718608e+30
639,C3H5N2GeBr3,3.13,3.71,-2.4648795024826765e+30
641,C3H5N2GeBr3,3.4,3.61,-2.5331587130777644e+30
643,C3H5N2GeBr3,3.16,3.69,-2.4782392829839371e+30
645,C3H5N2GeBr3,3.87,3.82,-2.3939012969138038e+30
647,C3H5N2GeBr3,3.82,3.82,-2.3939012969138038e+30
649,C3H5N2GeBr3,3.92,3.85,-2.375247520574215e+30
651,C3H5N2GeBr3,3.87,3.86,-2.3690940295882715e+30
653,C2H8NGeI3,2.23,4.83,-1.8933132410374178e+30
655,C2H8NGeI3,2.34,4.7,-1.945681479619304e+30
657,C2H8NGeI3,3.07,4.29,-2.131632390258911e+30
659,C2H8NGeI3,3.1,4.36,-2.0974089344520018e+30
661,C2H8NGeI3,3.1,4.49,-2.036682172430006e+30
663,C2H8NGeI3,3.1,4.32,-2.1168293875487796e+30
665,C2H8NGeI3,3.15,4.2,-2.1773102271930305e+30
667,C2H8NGeI3,2.84,4.56,-2.005417314519897e+30
669,C2H8NGeI3,3.14,4.37,-2.0926093716729357e+30
671,C2H8NGeI3,3.04,4.35,-2.1022305641863745e+30
673,C2H8NGeI3,2.24,4.41,-2.0736287878028864e+30
675,C2H8NGeI3,3.33,4.17,-2.1929743295469374e+30
677,C3H10NGeI3,2.63,3.93,-2.326896426007819e+30
679,C3H10NGeI3,2.52,4.03,-2.2691570605981957e+30
681,C3H10NGeI3,2.47,4.07,-2.2468557627053386e+30
683,C3H10NGeI3,2.41,4.31,-2.1217408246428607e+30
685,C3H10NGeI3,2.5,4.14,-2.2088654478769877e+30
687,C3H10NGeI3,2.57,4.37,-2.0926093716729357e+30
689,C3H10NGeI3,3.32,3.98,-2.297664058846917e+30
691,C3H10NGeI3,3.45,3.74,-2.4451077417675743e+30
693,C3H10NGeI3,3.4,3.63,-2.5192019157605314e+30
695,C3H10NGeI3,3.41,3.8,-2.406500777423876e+30
697,C3H10NGeI3,3.46,3.71,-2.4648795024826765e+30
699,C3H10NGeI3,2.54,4.18,-2.187727979476251e+30
701,C4H12NGeI3,2.77,3.79,-2.412850383696762e+30
703,C4H12NGeI3,2.76,3.8,-2.406500777423876e+30
705,C4H12NGeI3,2.88,3.83,-2.3876509018826966e+30
707,C4H12NGeI3,3.32,3.46,-2.6429777324308463e+30
709,C3H10NGeI3,2.72,4.07,-2.2468557627053386e+30
711,C3H10NGeI3,2.62,4.19,-2.1825066716493384e+30
713,C3H10NGeI3,2.45,4.23,-2.1618683106881155e+30
715,C3H10NGeI3,2.47,4.21,-2.1721384689336648e+30
717,C3H10NGeI3,3.27,3.86,-2.3690940295882715e+30
719,C3H10NGeI3,3.39,3.86,-2.3690940295882715e+30
721,C3H10NGeI3,3.25,3.86,-2.3690940295882715e+30
723,C3H10NGeI3,3.35,3.89,-2.3508233815451744e+30
725,C3H10NGeI3,3.27,4.04,-2.2635403352006755e+30
727,C3H10NGeI3,3.4,4.01,-2.2804745521722516e+30
729,C2H8NGeI3,2.55,4.43,-2.0642670325532122e+30
731,C2H8NGeI3,2.56,4.44,-2.0596177824798937e+30
733,C2H8NGeI3,2.57,4.42,-2.0689373199571786e+30
735,C2H8NGeI3,2.22,4.6,-1.9879789030892892e+30
737,C2H8NGeI3,3.14,4.36,-2.0974089344520018e+30
739,C2H8NGeI3,3.19,4.38,-2.087831724705646e+30
741,C2H8NGeI3,3.34,4.05,-2.2579513467186986e+30
743,C2H8NGeI3,3.21,4.33,-2.1119406360763806e+30
745,C2H7N2GeI3,2.44,4.41,-2.0736287878028864e+30
747,C2H7N2GeI3,2.47,4.38,-2.087831724705646e+30
749,C2H7N2GeI3,2.31,4.54,-2.0142517520287948e+30
751,C2H7N2GeI3,3.14,4.39,-2.0830758437837652e+30
753,C2H7N2GeI3,3.17,4.42,-2.0689373199571786e+30
755,C2H7N2GeI3,3.38,4.2,-2.1773102271930305e+30
757,CH6NGeI3,1.97,5.33,-1.7157041189888796e+30
759,CH6NGeI3,2.03,5.28,-1.7319513170853653e+30
761,CH6NGeI3,2.97,4.84,-1.8894014368203984e+30
763,CH6NGeI3,3.01,4.61,-1.98366658442749e+30
765,CH6NGeI3,2.8,4.94,-1.851154444172212e+30
767,CH6NGeI3,2.89,4.94,-1.851154444172212e+30
769,CH6N3GeI3,2.23,4.71,-1.941550521063849e+30
771,CH6N3GeI3,2.27,4.88,-1.8739145397972805e+30
773,CH6N3GeI3,2.85,4.73,-1.9333410051185472e+30
775,H4NOGe3I,2.11,5.55,-1.647694225983915e+30
777,H4NOGe3I,2.55,5.66,-1.6156719000372312e+30
779,H4NOGe3I,2.56,5.63,-1.6242811641582112e+30
781,H4NOGe3I,2.47,5.72,-1.5987242926941834e+30
783,H4NOGe3I,2.91,5.36,-1.7061012974273744e+30
785,H4NOGe3I,3.02,5.04,-1.8144251893275254e+30
787,H4NOGe3I,2.92,5.54,-1.6506684032871352e+30
789,CH5N2GeI3,1.97,5.16,-1.7722292546920016e+30
791,CH5N2GeI3,2.03,5.19,-1.7619851549538973e+30
793,CH5N2GeI3,3.43,4.19,-2.1825066716493384e+30
795,C4H12NGeI3,2.62,3.96,-2.309268422780487e+30
797,C4H12NGeI3,3.38,3.57,-2.561541443756507e+30
799,H5N2GeI3,1.88,5.63,-1.6242811641582112e+30
801,H5N2GeI3,2.52,5.36,-1.7061012974273744e+30
803,H5N2GeI3,1.92,5.74,-1.5931538247753882e+30
805,H5N2GeI3,2.73,5.2,-1.7585967219636014e+30
807,H5N2GeI3,3.11,4.96,-1.843690111736034e+30
809,H5N2GeI3,3.21,4.95,-1.8474147382243897e+30
811,H5N2GeI3,2.72,5.41,-1.6903332632552177e+30
813,H5N2GeI3,2.59,5.31,-1.7221662813956175e+30
815,H5N2GeI3,3.28,4.92,-1.858679462237953e+30
817,H5N2GeI3,2.68,5.45,-1.6779271475616014e+30
819,H5N2GeI3,2.63,5.27,-1.7352377522221498e+30
821,H4NGeI3,3.07,4.84,-1.8894014368203984e+30
823,H4NGeI3,2.59,4.78,-1.9131177728474328e+30
825,H4NGeI3,3.09,4.79,-1.9091237900231167e+30
827,C3H10NGeI3,2.54,4.16,-2.198245902454502e+30
829,C3H10NGeI3,2.54,4.13,-2.2142137903657937e+30
831,C3H10NGeI3,2.83,3.84,-2.3814330609923775e+30
833,C3H10NGeI3,2.56,4.0,-2.2861757385526823e+30
835,C3H10NGeI3,3.19,3.82,-2.3939012969138038e+30
837,C3H10NGeI3,3.28,3.98,-2.297664058846917e+30
839,C3H10NGeI3,3.36,3.86,-2.3690940295882715e+30
841,C3H10NGeI3,3.19,4.1,-2.230415354685544e+30
843,C3H10NGeI3,3.39,3.92,-2.332832386278247e+30
845,C3H8NGeI3,2.23,4.7,-1.945681479619304e+30
847,C3H8NGeI3,2.32,4.73,-1.9333410051185472e+30
849,C3H8NGeI3,2.28,4.79,-1.9091237900231167e+30
